#       [nm]       bulge  elliptical          s0          sa          sb          sc         avg
     200.000 6.13644e-16 1.97019e-15 8.63206e-16 4.62255e-15 2.97104e-15 2.52954e-14 6.05601e-15
     200.220 8.38059e-16 1.62811e-15 9.97630e-16 4.70683e-15 3.62595e-15 2.30589e-14 5.80924e-15
     200.440 1.06246e-15 1.28605e-15 1.13204e-15 4.79109e-15 4.28081e-15 2.08225e-14 5.56250e-15
     200.659 1.11957e-15 1.16099e-15 1.28592e-15 4.24181e-15 6.26612e-15 1.48339e-14 4.81806e-15
     200.879 1.11324e-15 1.11826e-15 1.44716e-15 3.45227e-15 8.75588e-15 7.42265e-15 3.88491e-15
     201.099 1.10475e-15 1.04842e-15 1.33338e-15 3.14330e-15 9.59479e-15 5.57774e-15 3.63373e-15
     201.319 1.09364e-15 9.45463e-16 8.83480e-16 3.42170e-15 8.41601e-15 1.05360e-14 4.21605e-15
     201.538 1.08225e-15 9.63706e-16 6.72357e-16 3.67507e-15 7.36688e-15 1.62329e-14 4.99885e-15
     201.758 1.06949e-15 1.55321e-15 1.58680e-15 3.81029e-15 6.92931e-15 2.54086e-14 6.72629e-15
     201.978 1.05674e-15 2.14276e-15 2.50131e-15 3.94552e-15 6.49172e-15 3.45850e-14 8.45384e-15
     202.198 1.09565e-15 2.51247e-15 2.29428e-15 4.01057e-15 4.46866e-15 3.34094e-14 7.96517e-15
     202.418 1.14031e-15 2.85779e-15 1.96264e-15 4.06783e-15 2.26932e-15 3.10837e-14 7.23026e-15
     202.637 9.90625e-16 2.48990e-15 1.73829e-15 3.51885e-15 3.63781e-15 2.92359e-14 6.93523e-15
     202.857 7.24314e-16 1.69406e-15 1.57828e-15 2.60609e-15 7.14708e-15 2.76746e-14 6.90408e-15
     203.077 5.30394e-16 1.47464e-15 1.62075e-15 2.27291e-15 9.06914e-15 2.76428e-14 7.10177e-15
     203.297 4.70876e-16 2.32570e-15 2.03927e-15 3.01606e-15 8.04387e-15 3.04512e-14 7.72449e-15
     203.516 4.37255e-16 3.05783e-15 2.40523e-15 3.70331e-15 7.53079e-15 3.28741e-14 8.33476e-15
     203.736 7.23055e-16 2.32363e-15 2.12318e-15 3.70152e-15 1.33358e-14 3.05446e-14 8.79196e-15
     203.956 1.00884e-15 1.58949e-15 1.84115e-15 3.69973e-15 1.91403e-14 2.82152e-14 9.24913e-15
     204.176 1.01954e-15 1.62262e-15 2.01550e-15 3.78601e-15 1.49693e-14 2.97923e-14 8.86754e-15
     204.396 9.61459e-16 1.84758e-15 2.30394e-15 3.89431e-15 8.30458e-15 3.23458e-14 8.27629e-15
     204.615 9.82889e-16 2.00749e-15 2.41151e-15 3.74460e-15 6.03171e-15 3.28174e-14 7.99926e-15
     204.835 1.07625e-15 2.10853e-15 2.35542e-15 3.36145e-15 7.73285e-15 3.14050e-14 8.00658e-15
     205.055 1.13549e-15 2.38966e-15 2.36120e-15 3.14450e-15 8.89464e-15 2.92375e-14 7.86050e-15
     205.275 1.09232e-15 3.21102e-15 2.55259e-15 3.42622e-15 8.43806e-15 2.48056e-14 7.25430e-15
     205.495 1.04915e-15 4.03243e-15 2.74399e-15 3.70795e-15 7.98144e-15 2.03734e-14 6.64806e-15
     205.714 8.51501e-16 3.36273e-15 2.27878e-15 3.94276e-15 9.74099e-15 2.34428e-14 7.26994e-15
     205.934 6.49880e-16 2.65475e-15 1.79671e-15 4.17639e-15 1.15575e-14 2.67048e-14 7.92334e-15
     206.154 6.65470e-16 2.38560e-15 1.47766e-15 4.07768e-15 1.08956e-14 2.74248e-14 7.82114e-15
     206.374 7.74155e-16 2.30449e-15 1.22844e-15 3.83651e-15 9.17143e-15 2.70554e-14 7.39507e-15
     206.593 8.08595e-16 2.41710e-15 1.12288e-15 3.77647e-15 9.02961e-15 2.77677e-14 7.48707e-15
     206.813 7.42599e-16 2.79176e-15 1.21168e-15 3.96144e-15 1.10283e-14 2.99434e-14 8.27985e-15
     207.033 7.12866e-16 3.06433e-15 1.32275e-15 4.09342e-15 1.30036e-14 3.21542e-14 9.05853e-15
     207.253 8.88596e-16 2.75841e-15 1.55996e-15 3.92506e-15 1.48455e-14 3.45639e-14 9.75690e-15
     207.473 1.06434e-15 2.45246e-15 1.79719e-15 3.75668e-15 1.66875e-14 3.69738e-14 1.04553e-14
     207.692 9.79861e-16 2.80786e-15 2.03329e-15 3.93166e-15 1.33968e-14 3.22292e-14 9.22979e-15
     207.912 8.58212e-16 3.25774e-15 2.26926e-15 4.15570e-15 9.37274e-15 2.64625e-14 7.72937e-15
     208.132 8.91034e-16 3.00259e-15 2.28894e-15 4.39584e-15 7.37368e-15 2.23239e-14 6.71266e-15
     208.352 1.02683e-15 2.27742e-15 2.16443e-15 4.64675e-15 6.72429e-15 1.92700e-14 6.01829e-15
     208.571 1.11584e-15 1.70766e-15 2.00498e-15 4.70258e-15 6.12139e-15 1.87683e-14 5.73679e-15
     208.791 1.10768e-15 1.46058e-15 1.77290e-15 4.35328e-15 5.61489e-15 2.35671e-14 6.31273e-15
     209.011 1.10063e-15 1.20935e-15 1.54183e-15 4.00743e-15 5.18081e-15 2.83987e-14 6.90645e-15
     209.231 1.11456e-15 8.78862e-16 1.32957e-15 3.72666e-15 6.12237e-15 3.38613e-14 7.83890e-15
